node name,IS
image_operator,operator_type
collection_operator,operator_type
vector_operator,operator_type
matrix_operator,operator_type
logic_operator,operator_type
char_operator,operator_type
interface_operator,operator_type
interactive_operator,operator_type
zero,number
one,number
two,number
three,number
four,number
text,argtype
number,argtype
obj,argtype
coll,argtype
img,argtype
vec,argtype
mat,argtype
op,argtype
bool,argtype
char,argtype
translate,nlp_operator
keywords,nlp_operator
summarize,nlp_operator
entities,nlp_operator
verbs,nlp_operator
nouns,nlp_operator
parse,nlp_operator
describe,nlp_operator
classify,image_operator
caption,image_operator
frequency,image_operator
resize,image_operator
crop,image_operator
monochrome,image_operator
segment,image_operator
detect_objects,image_operator
feature_map,image_operator
ocr,image_operator
text_sections,image_operator
sort,collection_operator
inverse_sort,collection_operator
map,collection_operator
multiply_vec,vector_operator
add_vec,vector_operator
subtract_vec,vector_operator
divide_vec,vector_operator
cosine_vec,vector_operator
multiply_mat,matrix_operator
add_mat,matrix_operator
subtract_mat,matrix_operator
divide_mat,matrix_operator
trace_mat,matrix_operator
eigen_mat,matrix_operator
svd_mat,matrix_operator
logic_if,logic_operator
logic_or,logic_operator
logic_and,logic_operator
logic_not,logic_operator
logic_implies,logic_operator
logic_therefore,logic_operator
logic_forall,logic_operator
logic_gt,logic_operator
logic_lt,logic_operator
logic_eq,logic_operator
logic_neq,logic_operator
logic_approxeq,logic_operator
logic_proportional,logic_operator
logic_probtrue,logic_operator
logic_probfalse,logic_operator
capitalize,char_operator
lowercase,char_operator
shift_char,char_operator
replace_char,char_operator
copy_char,char_operator
send_data,interface_operator
get_data,interface_operator
load_interface,interface_operator
move_cursor,interface_operator
click,interface_operator
double_click,interface_operator
enter_text,interface_operator
press_enter,interface_operator
press_key,interface_operator
get_screen_frame,interface_operator
say,interactive_operator
describe_worklog,interactive_operator
request,interactive_operator
send_email,interactive_operator
send_msg,interactive_operator
